dataset.id,dataset.title,id
5aab4167a3a7291ed12c89f7,Les entrées d'archives aux Archives nationales,97ad7c26-13e7-47a3-89ac-a66997c1d3a1
59855033a3a729783d0f577f,Répertoire des ressources documentaires du ministère de la Culture,ca90ff77-b706-4fb2-9727-2044c82552f0
59855033a3a729783d0f577f,Répertoire des ressources documentaires du ministère de la Culture,9f67087a-7724-452a-b5a6-92dd9083e54d
59592254a3a7291dd09c8178,Grands documents et images de l'histoire de France conservés par les Archives nationales,6e796075-b2f8-4b28-a459-cba4e1d19799
59592254a3a7291dd09c8178,Grands documents et images de l'histoire de France conservés par les Archives nationales,5159d38c-66b6-4cfb-aab9-1d87b8a36f9e
5890bf79a3a72974c1f0dc91,Recensement des circulaires de tri et de sélection des archives publiques,d3c7c88b-d6e8-49a9-a41a-830f81884926
5890bf79a3a72974c1f0dc91,Recensement des circulaires de tri et de sélection des archives publiques,18f52291-3db3-4bfc-9c09-4fc4b91ec401
5890bf79a3a72974cbf0dc96,Images du Palais-Royal ,04bba040-b4eb-4628-a934-00e21792869f
5890bf79a3a72974cbf0dc96,Images du Palais-Royal ,96c9709d-3325-4bce-90cc-8718e9fb942b
5890bf78a3a72974cbf0dc94,Fonds stratégique pour le développement de la presse (FSDP),72c2ebd3-f7c4-4b03-8fcd-d6ec96e03b07
5890bf76a3a72974cbf0dc8f,Institutions culturelles productrices de ressources pédagogiques en ligne,849b40f7-7d60-4cd3-a671-d9ef6af74a54
5890bf76a3a72974cbf0dc8f,Institutions culturelles productrices de ressources pédagogiques en ligne,71a64084-acf0-4a7d-874e-1494bed98faf
5890bf72a3a72974c1f0dc83,Pratiques culturelles des français - Evolution 1973-2008,6709d178-6c04-4a36-b62b-c7cc6806e86c
5890bf72a3a72974c1f0dc83,Pratiques culturelles des français - Evolution 1973-2008,160879d7-868f-42f2-bac1-c41bbe8a8c83
5890bf72a3a72974cbf0dc88,Liste des établissements de l'enseignement supérieur culture,fc6f2999-e012-4f58-abf5-755b84e07aeb
5890bf72a3a72974cbf0dc88,Liste des établissements de l'enseignement supérieur culture,430202f3-df68-486e-8a65-2f1eb62dab5f
5890bf72a3a72974c1f0dc82,Ressources pédagogiques du portail histoire des arts,95345a90-8d36-4d66-8cba-e6a2c31cb148
5890bf72a3a72974c1f0dc82,Ressources pédagogiques du portail histoire des arts,dd074300-544f-4519-b099-75c91349b365
565db6f2c751df2d32aad370,Aides à la presse,f65cd323-8597-4aaa-860b-3f57a0f3e31f
565db6f2c751df2d32aad370,Aides à la presse,8ee44e0b-9b31-41fe-99c6-89192147ef1f
565db6f2c751df2d32aad370,Aides à la presse,f9d1fe09-b566-4548-a95c-0052ecc97dd7
565db6f2c751df2d32aad370,Aides à la presse,ea0dd83e-264c-4380-a449-9ba20750f6c0
565db6f2c751df2d32aad370,Aides à la presse,8d9851a6-1a4c-4df1-8986-a695b549d021
565db6f2c751df2d32aad370,Aides à la presse,f3267213-8c4c-4fb5-a3b3-cd7b958d33aa
5550cfd9c751df388e190c78,Nuit des Musées : programme national de la 11ème édition  le 16 mai 2015,fb55a7f1-7629-42e2-871e-c7a37f95455d
536c47bfa3a72933d8d1b3a6,Liste des Immeubles protégés au titre des Monuments Historiques (archives),7cc75ce9-7986-46eb-a7c8-3831e7d209df
536c47bfa3a72933d8d1b3a6,Liste des Immeubles protégés au titre des Monuments Historiques (archives),d61216c1-9b03-4468-8f4a-f8117261ebcc
536c47bfa3a72933d8d1b3a6,Liste des Immeubles protégés au titre des Monuments Historiques (archives),edf158f9-bdde-4e6e-b92c-c156c9316383
536c47d9a3a72933d8d1b3b2,Liste des objets mobiliers propriété publique classés au titre des Monuments Historiques,4ad81197-1ce1-48a9-9eaa-077d675bf485
5369978fa3a729239d204d11,Journées Européennes du Patrimoine,1274f0e0-4996-4256-8e7a-9096747560bd
5369978fa3a729239d204d11,Journées Européennes du Patrimoine,67ca11fd-3176-4c81-9c2b-6735e9e942d6
5369978fa3a729239d204d11,Journées Européennes du Patrimoine,cdf9a9c2-5258-4436-b82d-139c4ce00af2
5369978fa3a729239d204d11,Journées Européennes du Patrimoine,51003755-49e5-4661-ac0e-c54b616236ee
5369978fa3a729239d204d11,Journées Européennes du Patrimoine,871415d5-4503-4c8d-b270-d185f7572419
5369978fa3a729239d204d11,Journées Européennes du Patrimoine,3a0882aa-6ecf-437a-bfee-db4ceea6c7f1
